%1$s was successfully added to your wishlist.,%1$s was successfully added to your wishlist.
%s was added to your shopping cart.,%s was added to your shopping cart.
Add Items to Cart,Add Items to Cart
Add to Cart,Add to Cart
Add to,Add to
Authentication...,Authentication...
Are you sure you would like to remove this item from the shopping cart?,Are you sure you would like to remove this item from the shopping cart?
As low as:,As low as:
Authentication...,Authentication...
Cannot add the item to comparison list.,Cannot add the item to comparison list.
Cannot add the item to shopping cart.,Cannot add the item to shopping cart.
Cannot add the item to wishlist.,Cannot add the item to wishlist.
Cannot remove the item.,Cannot remove the item.
Cannot specify product.,Cannot specify product.
Cart,Cart
Compare,Compare
Continue Shopping,Continue Shopping
Edit,Edit
Excl. Tax:,Excl. Tax:
Go to Shopping Cart,Go to Shopping Cart
Go to Wishlist,Go to Wishlist
Incl. Tax:,Incl. Tax:
My Cart (%s item),My Cart (%s item)
My Cart,My Cart
Product is not available.,Product is not available.
Qty,Qty
Regular Price:,Regular Price:
Special Price:,Special Price:
Starting at:,Starting at:
The product %s has been added to comparison list.,The product %s has been added to comparison list.
Wishlist,Wishlist
